id,name,gradRate,sat,pell,minority,size,sector,expend
1,Augsburg College,55,1045,0.24,0.07,2429,Private,12155
2,Bemidji State University,47,970,0.32,0.03,3121,Public,8785
3,Bethel University,73,1145,0.2,0.04,2982,Private,11859
4,Carleton College,89,1410,0.11,0.11,1936,Private,29877
5,College Of Saint Benedict,77,1145,0.18,0.02,2010,Private,13287
6,College Of St Catherine,58,1045,0.35,0.1,2776,Private,11819
7,College Of Visual Arts,27,990,0.28,0.04,177,Private,10586
8,Concordia College At Moorhead,63,1105,0.23,0.02,2718,Private,12223
9,Concordia University-Saint Paul,42,1005,0.29,0.09,1560,Private,8648
10,Gustavus Adolphus College,76,1165,0.17,0.03,2516,Private,16250
11,Hamline University,70,1105,0.28,0.06,1979,Private,14431
12,Macalester College,85,1355,0.15,0.09,1841,Private,24430
13,Metropolitan State University,24,,0.28,0.14,3327,Public,8240
14,Minneapolis College Of Art And Design,71,1045,0.31,0.06,635,Private,17470
15,Minnesota State University-Mankato,49,1010,0.25,0.03,11785,Public,7145
16,Minnesota State University-Moorhead,42,1010,0.31,0.03,6546,Public,6500
17,North Central University,44,990,0.37,0.08,1166,Private,6526
18,Northwestern College - Minnesota,59,1085,0.3,0.05,2325,Private,8547
19,Saint Cloud State University,46,1010,0.23,0.03,12523,Public,7034
20,Saint Johns University,79,1165,0.16,0.02,1855,Private,17498
21,Saint Mary's University Of Minnesota,65,1025,0.21,0.06,1417,Private,10592
22,Southwest Minnesota State University,38,990,0.18,0.04,3491,Public,6603
23,St. Olaf College,83,1240,0.14,0.03,3023,Private,18902
24,The College Of Saint Scholastica,63,1085,0.33,0.04,2402,Private,11545
25,University Of Minnesota-Crookston,36,990,0.18,0.05,1355,Public,6490
26,University Of Minnesota-Duluth,48,1065,0.2,0.03,8885,Public,6479
27,University Of Minnesota-Morris,55,1125,0.25,0.12,1581,Public,10343
28,University Of Minnesota-Twin Cities,61,1165,0.18,0.07,28910,Public,17013
29,University Of St Thomas - Minnesota,74,1125,0.16,0.06,5289,Private,16172
30,Winona State University,52,1050,0.22,0.02,7012,Public,6878
